x,y
191952.9972,1550497
192452.9972,1550497
192952.9972,1550497
193452.9972,1550497
193952.9972,1550497
194452.9972,1550497
194952.9972,1550497
195452.9972,1550497
195952.9972,1550497
196452.9972,1550497
196952.9972,1550497
197452.9972,1550497
197952.9972,1550497
198452.9972,1550497
198952.9972,1550497
199452.9972,1550497
199952.9972,1550497
200452.9972,1550497
200952.9972,1550497
201452.9972,1550497
201952.9972,1550497
202452.9972,1550497
202952.9972,1550497
203452.9972,1550497
203952.9972,1550497
204452.9972,1550497
204952.9972,1550497
205452.9972,1550497
205952.9972,1550497
206452.9972,1550497
206952.9972,1550497
207452.9972,1550497
207952.9972,1550497
208452.9972,1550497
208952.9972,1550497
209452.9972,1550497
209952.9972,1550497
210452.9972,1550497
210952.9972,1550497
211452.9972,1550497
211952.9972,1550497
212452.9972,1550497
212952.9972,1550497
213452.9972,1550497
213952.9972,1550497
214452.9972,1550497
214952.9972,1550497
215452.9972,1550497
215952.9972,1550497
216452.9972,1550497
216952.9972,1550497
217452.9972,1550497
217952.9972,1550497
218452.9972,1550497
218952.9972,1550497
219452.9972,1550497
219952.9972,1550497
220452.9972,1550497
220952.9972,1550497
221452.9972,1550497
223952.9972,1550497
224452.9972,1550497
224952.9972,1550497
225452.9972,1550497
225952.9972,1550497
186952.9972,1550997
187452.9972,1550997
188952.9972,1550997
189452.9972,1550997
189952.9972,1550997
190452.9972,1550997
190952.9972,1550997
191452.9972,1550997
191952.9972,1550997
192452.9972,1550997
192952.9972,1550997
193452.9972,1550997
193952.9972,1550997
194452.9972,1550997
194952.9972,1550997
195452.9972,1550997
195952.9972,1550997
196452.9972,1550997
196952.9972,1550997
197452.9972,1550997
197952.9972,1550997
198452.9972,1550997
198952.9972,1550997
199452.9972,1550997
199952.9972,1550997
200452.9972,1550997
200952.9972,1550997
201452.9972,1550997
201952.9972,1550997
202452.9972,1550997
202952.9972,1550997
203452.9972,1550997
203952.9972,1550997
204452.9972,1550997
204952.9972,1550997
205452.9972,1550997
205952.9972,1550997
206452.9972,1550997
206952.9972,1550997
207452.9972,1550997
207952.9972,1550997
208452.9972,1550997
208952.9972,1550997
209452.9972,1550997
209952.9972,1550997
210452.9972,1550997
210952.9972,1550997
211452.9972,1550997
211952.9972,1550997
212452.9972,1550997
212952.9972,1550997
213452.9972,1550997
213952.9972,1550997
214452.9972,1550997
214952.9972,1550997
215452.9972,1550997
215952.9972,1550997
216452.9972,1550997
216952.9972,1550997
217452.9972,1550997
217952.9972,1550997
218452.9972,1550997
220452.9972,1550997
223452.9972,1550997
223952.9972,1550997
224452.9972,1550997
224952.9972,1550997
225452.9972,1550997
225952.9972,1550997
226452.9972,1550997
187452.9972,1551497
187952.9972,1551497
188452.9972,1551497
188952.9972,1551497
189452.9972,1551497
189952.9972,1551497
190452.9972,1551497
190952.9972,1551497
191452.9972,1551497
191952.9972,1551497
192452.9972,1551497
192952.9972,1551497
193452.9972,1551497
193952.9972,1551497
194452.9972,1551497
194952.9972,1551497
195452.9972,1551497
195952.9972,1551497
196452.9972,1551497
197452.9972,1551497
197952.9972,1551497
198452.9972,1551497
198952.9972,1551497
199452.9972,1551497
199952.9972,1551497
200452.9972,1551497
200952.9972,1551497
201452.9972,1551497
201952.9972,1551497
202452.9972,1551497
202952.9972,1551497
203452.9972,1551497
203952.9972,1551497
204452.9972,1551497
204952.9972,1551497
205452.9972,1551497
205952.9972,1551497
206452.9972,1551497
206952.9972,1551497
207452.9972,1551497
207952.9972,1551497
208452.9972,1551497
208952.9972,1551497
209452.9972,1551497
209952.9972,1551497
210452.9972,1551497
210952.9972,1551497
211452.9972,1551497
